eMr9,No-No-No
uz40,Yes-Yes-Yes
UqvF,No-Yes-Yes
cHzX,No-No-No
jIfA,No-No-No
F7ct,No-No-No
tlQI,Yes-Yes-Yes
IzBy,No-No-No
AQFq,No-No-No
JeA8,No-No-No
uQ2b,Yes-Yes-Yes
SotH,No-No-No
M8Od,No-No-No
GS1i,No-No-No
EDP2,No-No-No
2KSw,No-No-No
Cw6O,No-No-No
hmiO,Yes-Yes-Yes
k0Gi,No-No-No
Yniv,Yes-Yes-Yes
urtF,Yes-Yes-Yes
pWzf,No-No-No
QKHA,No-No-No
2CbQ,Yes-Yes-Yes
6zYr,No-No-No
kRun,No-No-No
LPFi,No-No-No
ctHT,No-No-No
APOQ,No-No-No
tl7T,Yes-Yes-Yes
8FuI,No-No-No
I3jj,Yes-Yes-Yes
2Cfk,No-No-No
UUg8,No-No-No
CNft,No-No-No
4ZDB,No-No-No
Xfh1,No-No-No
vGzd,Yes-Yes-Yes
wXqF,No-No-No
bnQZ,No-No-No
WQYe,No-No-No
KYDV,No-No-No
lWqp,No-No-No
CeTA,Yes-Yes-Yes
wphk,No-No-No
6Zsw,No-No-No
t586,Yes-Yes-Yes
4a2S,No-No-No
Z8F9,No-No-No
J5IX,No-No-No
Lq1j,No-No-No
UHZR,No-No-No
ut3b,Yes-Yes-Yes
OtpK,No-No-No
xNVt,Yes-Yes-Yes
wEgq,Yes-Yes-Yes
m9De,No-Yes-Yes
Yq1F,No-No-No
K8hw,Yes-Yes-Yes
qli3,Yes-Yes-Yes
J2JR,No-No-No
kwJ7,No-No-No
d7uF,No-No-No
VRqF,No-No-No
HtVO,No-No-No
iVe1,Yes-Yes-Yes
bhli,No-No-No
h40k,Yes-Yes-Yes
tAzD,No-No-No
IdjM,Yes-Yes-Yes
Wo9x,No-No-No
MIvW,No-No-No
VOae,No-No-No
NCBA,No-No-No
Zn5w,No-No-No
uC2L,No-No-No
3DbE,No-No-No
7Wte,No-No-No
9q9N,No-No-No
6hBd,Yes-Yes-Yes
P0qz,No-No-No
FWkr,Yes-Yes-Yes
lZE1,Yes-Yes-Yes
IEmQ,No-No-No
S7zS,No-No-No
h9um,No-No-No
jkX6,No-No-No
eQPb,No-No-No
E0xz,No-Yes-Yes
zYjM,No-No-No
qoiD,Yes-Yes-Yes
fMvK,No-No-No
6ggx,No-No-No
hPqd,Yes-Yes-Yes
RK8R,No-No-No
2edR,No-No-No
8iUE,Yes-Yes-Yes
Lbbr,Yes-Yes-Yes
NAoS,Yes-Yes-Yes
a0o7,Yes-Yes-Yes
QUxp,No-No-No
giyq,No-No
WS0F,Yes-Yes-Yes
vVq9,Yes-Yes-Yes
KZjy,No-No-No
xqAD,No-No-No
Wrtb,No-No-No
rPKR,No-No-No
BBTV,Yes-Yes-Yes
AH9w,Yes-Yes-Yes
QLme,Yes-Yes-Yes
Ld2s,Yes-Yes-Yes
moTF,No-No-No
l8SJ,No-No-Yes
uDQY,No-No-No
FDyz,No-No-No
IxwV,No-No-No
6BZw,No-No-No
